年,月,地域区分,データ区分,地域コード,地域名称,人数
2025,3,都道府県,観光来訪者数,1,北海道,3264250
2025,3,都道府県,観光来訪者数,2,青森県,855069
2025,3,都道府県,観光来訪者数,3,岩手県,1449102
2025,3,都道府県,観光来訪者数,4,宮城県,1783333
2025,3,都道府県,観光来訪者数,5,秋田県,635003
2025,3,都道府県,観光来訪者数,6,山形県,1184124
2025,3,都道府県,観光来訪者数,7,福島県,1877560
2025,3,都道府県,観光来訪者数,8,茨城県,2546625
2025,3,都道府県,観光来訪者数,9,栃木県,3020979
2025,3,都道府県,観光来訪者数,10,群馬県,2244117
2025,3,都道府県,観光来訪者数,11,埼玉県,3867180
2025,3,都道府県,観光来訪者数,12,千葉県,4501089
2025,3,都道府県,観光来訪者数,13,東京都,22076446
2025,3,都道府県,観光来訪者数,14,神奈川県,6200062
2025,3,都道府県,観光来訪者数,15,新潟県,2013046
2025,3,都道府県,観光来訪者数,16,富山県,1064156
2025,3,都道府県,観光来訪者数,17,石川県,1041259
2025,3,都道府県,観光来訪者数,18,福井県,707287
2025,3,都道府県,観光来訪者数,19,山梨県,1144449
2025,3,都道府県,観光来訪者数,20,長野県,2970713
2025,3,都道府県,観光来訪者数,21,岐阜県,2401882
2025,3,都道府県,観光来訪者数,22,静岡県,8282400
2025,3,都道府県,観光来訪者数,23,愛知県,9550148
2025,3,都道府県,観光来訪者数,24,三重県,4950964
2025,3,都道府県,観光来訪者数,25,滋賀県,1867569
2025,3,都道府県,観光来訪者数,26,京都府,2986471
2025,3,都道府県,観光来訪者数,27,大阪府,6006819
2025,3,都道府県,観光来訪者数,28,兵庫県,5408594
2025,3,都道府県,観光来訪者数,29,奈良県,1296183
2025,3,都道府県,観光来訪者数,30,和歌山県,2061654
2025,3,都道府県,観光来訪者数,31,鳥取県,981697
2025,3,都道府県,観光来訪者数,32,島根県,777717
2025,3,都道府県,観光来訪者数,33,岡山県,2052222
2025,3,都道府県,観光来訪者数,34,広島県,3011117
2025,3,都道府県,観光来訪者数,35,山口県,1276244
2025,3,都道府県,観光来訪者数,36,徳島県,735667
2025,3,都道府県,観光来訪者数,37,香川県,1094563
2025,3,都道府県,観光来訪者数,38,愛媛県,1299053
2025,3,都道府県,観光来訪者数,39,高知県,736648
2025,3,都道府県,観光来訪者数,40,福岡県,5854402
2025,3,都道府県,観光来訪者数,41,佐賀県,2597561
2025,3,都道府県,観光来訪者数,42,長崎県,1548990
2025,3,都道府県,観光来訪者数,43,熊本県,1612368
2025,3,都道府県,観光来訪者数,44,大分県,1291636
2025,3,都道府県,観光来訪者数,45,宮崎県,1025280
2025,3,都道府県,観光来訪者数,46,鹿児島県,1762249
2025,3,都道府県,観光来訪者数,47,沖縄県,3023093
